state,zip5,lat_lon,population,adi_median
KS,66439,"(39.6563308, -95.5400857)",2747,91.0
CA,95023,"(36.9199935, -121.3221878)",48841,12.0
CA,90270,"(33.9885572, -118.187688)",27372,26.0
IL,60431,"(41.5099859, -88.1903574)",22577,45.0
CA,93021,"(34.305181, -118.8839285)",36422,8.0
IL,60632,"(41.8101664, -87.7132518)",91326,58.0
KS,66845,"(38.2987312, -96.5083925)",1232,92.0
CA,96150,"(38.8733198, -120.0684809)",29792,20.0
NJ,07730,"(40.4241637, -74.1737321)",17396,23.0
OR,97701,"(43.9976526, -121.0341861)",58993,32.0
CA,92672,"(33.3729358, -117.5209627)",34464,4.0
CA,90222,"(33.9122401, -118.2376069)",31869,28.0
NY,12545,"(41.7914813, -73.6771663)",4763,27.0
IL,60088,"(42.3096322, -87.8440612)",15761,43.0
MA,01803,"(42.5032267, -71.201713)",24487,11.0
NJ,07003,"(40.8091411, -74.1871418)",47312,26.0
CA,94804,"(37.915484, -122.337828)",38559,21.0
CA,93906,"(36.7226758, -121.6336673)",59461,24.0
CA,90292,"(33.9760775, -118.4520658)",21576,3.0
CA,91773,"(34.1074851, -117.8087522)",33119,18.0
NJ,07304,"(40.7173028, -74.0763519)",41233,30.0
MD,20906,"(39.0872347, -77.0549522)",64696,23.0
MN,55426,"(44.9565663, -93.3816539)",24945,41.0
MA,02143,"(42.3813982, -71.0967215)",24514,8.0
CA,92507,"(33.991134, -117.3068976)",58002,36.0
IL,60148,"(41.8762575, -88.0187544)",51468,36.0
NM,87124,"(35.2699197, -106.7956426)",51404,51.0
CA,90035,"(34.0514263, -118.3857654)",28418,3.0
MN,55398,"(45.4587472, -93.589494)",15540,40.0
NY,13031,"(43.045456, -76.3066713)",15551,57.0
IL,60466,"(41.4791622, -87.6845977)",22115,88.0
MN,55106,"(44.9572358, -93.0471292)",52730,66.0
